Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,B12,B275,M,H8,40_deg,1.395262543,APTX
1,C04,B371,M,L8,30_deg,1.723565489,APTX
1,C05,B371,M,L8,30_deg,1.450903157,APTX
1,C06,B371,M,L8,30_deg,1.665438149,APTX
1,C07,B390,M,H16,40_deg,1.576027512,APTX
1,C08,B390,M,H16,40_deg,1.55295868,APTX
1,C09,B390,M,H16,40_deg,1.531403644,APTX
1,C10,B403,F,L16,30_deg,2.311050073,APTX
1,C11,B403,F,L16,30_deg,2.166967047,APTX
1,C12,B403,F,L16,30_deg,2.410224253,APTX
1,D04,B191,F,H8,40_deg,0.791691735,APTX
1,D05,B191,F,H8,40_deg,0.784911061,APTX
1,D06,B191,F,H8,40_deg,0.792840937,APTX
1,D07,B239,F,L12,30_deg,4.575851118,APTX
1,D08,B239,F,L12,30_deg,4.707640115,APTX
1,D09,B239,F,L12,30_deg,4.358488524,APTX
1,D10,B365,M,H6,40_deg,1.081115356,APTX
1,D11,B365,M,H6,40_deg,1.163312414,APTX
1,D12,B365,M,H6,40_deg,1.116694195,APTX
1,E04,B176,M,L14,30_deg,1.762498975,APTX
1,E05,B176,M,L14,30_deg,1.686281082,APTX
1,E06,B176,M,L14,30_deg,1.710378932,APTX
1,E07,B248,M,H12,40_deg,2.757793487,APTX
1,E08,B248,M,H12,40_deg,3.067793068,APTX
1,E09,B248,M,H12,40_deg,2.951934437,APTX
1,E10,B209,M,L6,30_deg,1.238517737,APTX
1,E11,B209,M,L6,30_deg,1.270973725,APTX
1,E12,B209,M,L6,30_deg,1.168308667,APTX
1,F04,B195,F,H4,40_deg,0.950341678,APTX
1,F05,B195,F,H4,40_deg,0.945710911,APTX
1,F06,B195,F,H4,40_deg,1.163093502,APTX
1,F07,B368,M,L4,30_deg,2.240030193,APTX
1,F08,B368,M,L4,30_deg,1.902982373,APTX
1,F09,B368,M,L4,30_deg,1.769525367,APTX
1,F10,B336,F,H10,40_deg,1.381476134,APTX
1,F11,B336,F,H10,40_deg,1.356737574,APTX
1,F12,B336,F,H10,40_deg,1.283081117,APTX
1,G04,B388,F,L14,30_deg,0.856646408,APTX
1,G05,B388,F,L14,30_deg,0.821974868,APTX
1,G06,B388,F,L14,30_deg,0.870947849,APTX
1,G07,B234,F,H16,40_deg,0.578783102,APTX
1,G08,B234,F,H16,40_deg,0.645645677,APTX
1,G09,B234,F,H16,40_deg,0.594751698,APTX
1,G10,B367,F,L2,30_deg,1.115183115,APTX
1,G11,B367,F,L2,30_deg,1.250498684,APTX
1,G12,B367,F,L2,30_deg,1.194019398,APTX
1,H04,B302,F,H12,40_deg,1.956979495,APTX
1,H05,B302,F,H12,40_deg,2.027439377,APTX
1,H06,B302,F,H12,40_deg,1.912779149,APTX
1,H07,B369,F,L4,30_deg,0.671431022,APTX
1,H08,B369,F,L4,30_deg,0.671436634,APTX
1,H09,B369,F,L4,30_deg,0.676809222,APTX
1,H10,B362,M,H2,40_deg,1.850394444,APTX
