Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,F06,HEX,EEF2,Unkn-06,Cool,90583,M,1/4/2018,31.77188813,31.85080785,0.078919722,0.097980837,31.75282702,31.94878869,11.21813541,176.5838184,5,882.9190918
1,F07,HEX,EEF2,Unkn-14,Hot,23850,F,12/30/2017,33.48797522,33.894204,0.406228787,1.05649005,32.83771396,34.95069405,20.61247517,53.63843705,5,268.1921853
1,F08,HEX,EEF2,Unkn-14,Hot,23850,F,12/30/2017,34.30043279,33.894204,0.406228787,1.05649005,32.83771396,34.95069405,20.61247517,30.51299724,5,152.5649862
1,F10,HEX,EEF2,Unkn-22,Hot,23625,M,12/30/2017,38.8278955,39.02158406,0.193688559,1.972028325,37.04955574,40.99361239,0.627005598,1.316007081,5,6.580035407
1,F11,HEX,EEF2,Unkn-22,Hot,23625,M,12/30/2017,39.21527262,39.02158406,0.193688559,1.972028325,37.04955574,40.99361239,0.627005598,1.005650793,5,5.028253965
1,G04,HEX,EEF2,Unkn-07,Hot,18945,M,12/30/2017,29.40673806,29.68490912,0.278171058,0.244359898,29.44054922,29.92926902,133.7416655,912.3182718,5,4561.591359
1,G05,HEX,EEF2,Unkn-07,Hot,18945,M,12/30/2017,29.78303849,29.68490912,0.098129373,0.244359898,29.44054922,29.92926902,133.7416655,702.5471067,5,3512.735533
1,G06,HEX,EEF2,Unkn-07,Hot,18945,M,12/30/2017,29.8649508,29.68490912,0.180041685,0.244359898,29.44054922,29.92926902,133.7416655,663.7053675,5,3318.526837
1,G08,HEX,EEF2,Unkn-15,Cool,24511,M,1/16/2018,31.44521543,31.46095179,0.015736355,0.470894823,30.99005696,31.93184661,96.32586293,221.5424278,5,1107.712139
1,G09,HEX,EEF2,Unkn-15,Cool,24511,M,1/16/2018,31.47668814,31.46095179,0.015736355,0.470894823,30.99005696,31.93184661,96.32586293,216.753701,5,1083.768505
